City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
594,Brownwood,US,31.7093,-98.9912,32.0,100,1,6.91,snow
595,Matara,LK,5.9485,80.5353,75.72,81,100,4.29,overcast clouds
596,Tuy Hoa,VN,13.0833,109.3,70.77,88,89,11.68,light rain
597,Carballo,ES,43.213,-8.691,43.0,65,0,4.61,clear sky
598,Wukari,NG,7.85,9.7833,80.6,17,0,2.86,clear sky
599,Dunedin,NZ,-45.8742,170.5036,54.21,64,37,12.75,scattered clouds
600,Peleduy,RU,59.6289,112.7406,-8.68,89,100,2.24,overcast clouds
601,Biak,ID,-0.9131,122.8766,77.27,78,3,2.24,clear sky
602,Palamos,ES,41.8484,3.1291,43.0,25,100,16.84,overcast clouds
603,Caruray,PH,10.3094,119.0128,78.15,79,47,13.87,scattered clouds
604,Moyale,KE,3.5167,39.0584,72.5,41,0,7.65,clear sky
605,Uvarovka,RU,55.5278,35.6061,6.62,96,96,3.27,overcast clouds
606,Kwinana,AU,-32.25,115.7667,64.0,67,0,10.36,clear sky
607,San Juan,AR,-31.5375,-68.5364,98.69,12,0,4.65,clear sky
608,Tarbagatay,RU,51.4803,107.3602,-5.8,71,100,6.71,snow
609,Krasnoarmeysk,RU,51.0239,45.6969,24.28,97,49,12.39,scattered clouds
610,Hobyo,SO,5.3505,48.5268,74.86,73,7,20.69,clear sky
611,Sukhothai,TH,17.25,99.6667,73.0,99,14,1.45,few clouds
612,Luena,AO,-11.7833,19.9167,64.44,92,100,2.24,light rain
613,Marsh Harbour,BS,26.5412,-77.0636,66.94,56,11,6.76,few clouds
614,Sakakah,SA,29.9697,40.2064,55.4,62,0,4.61,clear sky
615,Malkangiri,IN,18.35,81.9,65.95,54,47,1.5,scattered clouds
616,Buenavista,PH,8.9769,125.4089,75.22,89,100,2.24,overcast clouds
617,Turukhansk,RU,65.8167,87.9833,-22.7,80,0,2.62,clear sky
618,Henties Bay,NA,-22.116,14.2845,69.01,86,91,5.01,overcast clouds
619,Port Shepstone,ZA,-30.7414,30.455,73.8,83,100,9.66,light rain
620,San Jose,US,37.3394,-121.895,61.0,47,75,5.75,broken clouds
621,Desaguadero,PE,-16.5656,-69.0417,59.2,42,6,13.51,clear sky
622,Calabozo,VE,8.9242,-67.4293,85.78,60,71,8.28,broken clouds
623,Saryg-Sep,RU,51.5,95.6,-8.37,86,96,1.16,overcast clouds
624,Saint Anthony,US,45.0205,-93.218,28.99,74,90,9.22,overcast clouds
625,Ixtapa,MX,20.7,-105.2,75.2,73,1,8.05,clear sky
626,Pastos Bons,BR,-6.6017,-44.0767,78.12,88,100,3.13,heavy intensity rain
627,Ziro,IN,27.6333,93.8333,42.08,100,100,2.01,overcast clouds
628,Buala,SB,-8.145,159.5921,82.56,75,97,4.47,light rain
629,Laichingen,DE,48.4894,9.6861,25.0,95,100,1.01,overcast clouds
630,Winnipeg,CA,49.8844,-97.147,28.0,86,97,5.75,overcast clouds
631,Pyshchug,RU,58.8873,45.7134,0.79,93,100,7.07,overcast clouds
632,Skeldon,GY,5.8833,-57.1333,81.21,73,99,11.07,overcast clouds
633,Mpanda,TZ,-6.3655,31.0409,65.21,90,100,1.83,overcast clouds
634,Conde,BR,-7.2597,-34.9075,82.4,69,20,10.36,few clouds
635,Hervey Bay,AU,-25.2986,152.8535,73.0,87,70,5.99,broken clouds
636,Vanimo,PG,-2.6741,141.3028,78.08,83,59,2.24,broken clouds
637,Luanda,AO,-8.8368,13.2343,78.8,73,20,9.22,few clouds
638,Tari,NG,12.4086,4.4914,80.96,16,0,10.63,clear sky
639,Keetmanshoop,NA,-26.5833,18.1333,86.0,20,89,13.8,overcast clouds
640,Xique-Xique,BR,-10.8218,-42.7263,84.43,61,95,2.59,overcast clouds
641,Umm Kaddadah,SD,13.6017,26.6876,67.24,23,0,14.12,clear sky
642,Mazamet,FR,43.49,2.373,32.0,86,20,8.05,few clouds
643,Durban,ZA,-29.8579,31.0292,73.4,73,90,11.5,overcast clouds
644,Mitsamiouli,KM,-11.3847,43.2844,81.01,78,100,12.39,light rain
645,Varberg,SE,57.1056,12.2508,36.0,94,3,13.0,clear sky
646,Kroya,ID,-7.6331,109.2461,66.99,82,100,2.28,overcast clouds
647,Kharitonovo,RU,61.4009,47.4978,-3.57,90,73,8.63,broken clouds
648,Raton,US,36.9034,-104.4391,28.99,74,90,11.5,overcast clouds
649,Talcahuano,CL,-36.7167,-73.1167,59.0,94,90,5.75,mist
650,Soyo,AO,-6.1349,12.3689,78.46,75,0,8.21,clear sky
651,Shieli,KZ,44.1667,66.75,26.28,70,0,9.19,clear sky
652,Saint-Joseph,RE,-21.3667,55.6167,80.6,83,75,17.27,light rain
653,Mutis,CO,6.2262,-77.4044,81.14,75,22,7.18,light rain
654,Piacabucu,BR,-10.4056,-36.4344,81.82,68,83,14.36,broken clouds
655,Lamu,KE,-2.2717,40.902,78.8,73,20,6.91,haze
656,Chapais,CA,49.7834,-74.8492,17.6,93,90,11.5,overcast clouds
657,Markova,UA,48.6758,24.4138,25.38,93,98,0.98,overcast clouds
658,Bathsheba,BB,13.2167,-59.5167,82.4,61,20,20.71,few clouds
659,Saint-Leu,RE,-21.15,55.2833,80.6,83,75,17.27,broken clouds
660,Sale,MA,34.0389,-6.8166,46.4,93,75,9.22,moderate rain
661,Borzya,RU,50.3833,116.5167,-6.21,89,92,6.4,snow
662,Antofagasta,CL,-23.65,-70.4,69.8,68,20,16.11,few clouds
663,Saint-Pierre,RE,-21.3393,55.4781,80.6,83,75,17.27,broken clouds
664,Rutland,US,43.6167,-73.0162,28.4,74,1,5.75,clear sky
665,Dosso,NE,13.049,3.1937,79.34,16,0,8.52,clear sky
666,Elizabeth City,US,36.2946,-76.2511,48.99,49,1,8.05,clear sky
667,Zapolyarnyy,RU,69.4154,30.8136,5.0,85,0,11.5,clear sky
668,Uglich,RU,57.5275,38.3317,1.98,94,90,4.36,overcast clouds
669,Kisangani,CD,0.5167,25.2,75.22,67,0,1.74,clear sky
670,Vallenar,CL,-28.5708,-70.7581,86.67,19,0,10.89,clear sky
671,Egvekinot,RU,66.3167,-179.1667,-19.62,85,4,10.31,clear sky
672,Rudbar,AF,30.15,62.6,39.18,52,0,1.92,clear sky
673,Nicoya,CR,10.1483,-85.452,89.6,48,40,18.41,scattered clouds
674,Hirara,JP,24.8,125.2833,62.62,76,27,24.05,scattered clouds
675,Sal Rei,CV,16.1833,-22.9167,71.6,56,40,18.41,scattered clouds
676,Mlonggo,ID,-6.5333,110.7,78.31,86,100,5.91,moderate rain
677,Pouebo,NC,-20.4,164.5667,80.11,83,100,5.44,overcast clouds
