City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
134,Pemba,MZ,2021-01-06 18:47:34,-12.974,40.5178,82.4,83,75,12.75
135,Port Hardy,CA,2021-01-06 18:49:30,50.6996,-127.4199,44.6,86,75,6.93
136,Kavieng,PG,2021-01-06 18:49:11,-2.5744,150.7967,80.73,79,45,6.24
137,Mantua,IT,2021-01-06 18:52:12,45.1667,10.7833,39.99,91,86,1.01
138,Omboue,GA,2021-01-06 18:52:13,-1.5746,9.2618,77.86,89,100,7.25
139,Biak,ID,2021-01-06 18:47:23,-0.9131,122.8766,76.84,81,97,3.53
140,Pervomayskoye,RU,2021-01-06 18:52:13,43.919,46.7102,39.04,72,100,3.53
141,Banda Aceh,ID,2021-01-06 18:52:13,5.5577,95.3222,78.78,83,14,9.69
142,Ancud,CL,2021-01-06 18:49:59,-41.8697,-73.8203,71.01,60,75,9.17
143,Tuatapere,NZ,2021-01-06 18:41:52,-46.1333,167.6833,60.01,94,100,1.57
144,Tuktoyaktuk,CA,2021-01-06 18:39:26,69.4541,-133.0374,-22.0,67,20,6.93
145,Oyama,JP,2021-01-06 18:42:39,36.3,139.8,44.01,69,75,2.24
146,College Place,US,2021-01-06 18:52:14,46.0493,-118.3883,55.0,37,90,17.22
147,Kuldur,RU,2021-01-06 18:52:14,49.2167,131.6333,-21.96,83,97,3.76
148,Loukhi,RU,2021-01-06 18:52:14,66.0764,33.0381,6.75,95,0,4.74
149,Anadyr,RU,2021-01-06 18:49:20,64.75,177.4833,-13.0,75,0,8.95
150,Aksay,RU,2021-01-06 18:52:15,47.26,39.87,37.4,100,90,4.47
151,Guerrero Negro,MX,2021-01-06 18:49:09,27.9769,-114.0611,71.62,27,0,4.65
152,Camacha,PT,2021-01-06 18:49:09,33.0833,-16.3333,60.8,93,75,13.87
153,Alta Floresta,BR,2021-01-06 18:50:08,-9.8756,-56.0861,86.49,64,63,3.36
154,Andenes,NO,2021-01-06 18:52:16,69.3143,16.1194,37.99,93,0,10.29
155,Sitka,US,2021-01-06 18:44:59,57.0531,-135.33,39.2,80,90,5.82
156,Puerto Ayora,EC,2021-01-06 18:45:00,-0.7393,-90.3518,84.2,58,0,6.93
157,Yabassi,CM,2021-01-06 18:52:16,4.457,9.9682,73.4,100,75,1.12
