City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
562,Juneau,US,42.8,moderate rain,58.3019,-134.4197,"Baranof Downtown, BW Signature Collection"
563,Hualmay,PE,73.81,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
564,Srandakan,ID,76.37,overcast clouds,-7.9386,110.2506,Puri Brata
565,Faanui,PF,80.87,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
567,Morondava,MG,82.02,light rain,-20.2833,44.2833,La Case Bambou
570,Bubaque,GW,79.56,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
571,Silopi,TR,46.24,clear sky,37.2497,42.4694,"Özenler Residence Otel, Şırnak Silopi"
577,Qaqortoq,GL,41.0,broken clouds,60.7167,-46.0333,Hotel Qaqortoq
578,Chiang Khong,TH,71.6,clear sky,20.2613,100.4046,Chiangkhong Green Inn Resident
579,Salt,JO,53.6,clear sky,32.0392,35.7272,Beit Aziz
584,Cayenne,GF,82.4,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
586,Porto Walter,BR,82.47,moderate rain,-8.2686,-72.7439,Secretaria de saúde
588,Ternate,ID,80.89,broken clouds,0.8,127.4,Grand Dafam Bela Ternate
589,Laredo,US,46.4,overcast clouds,27.5064,-99.5075,La Quinta Inn by Wyndham Laredo I-35
590,Kaeo,NZ,64.0,few clouds,-35.1,173.7833,Bushido Lodge
591,Pontianak,ID,77.0,overcast clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
593,Port Hardy,CA,46.4,light rain,50.6996,-127.4199,Airport Inn
595,Matara,LK,75.72,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
596,Tuy Hoa,VN,70.77,light rain,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
597,Carballo,ES,43.0,clear sky,43.213,-8.691,Pazo do Souto
598,Wukari,NG,80.6,clear sky,7.85,9.7833,Elimtop
599,Dunedin,NZ,54.21,scattered clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
601,Biak,ID,77.27,clear sky,-0.9131,122.8766,Penginapan Kim
602,Palamos,ES,43.0,overcast clouds,41.8484,3.1291,Hotel Rosamar
604,Moyale,KE,72.5,clear sky,3.5167,39.0584,La Tahzan Guest House
606,Kwinana,AU,64.0,clear sky,-32.25,115.7667,Rockingham Apartments
610,Hobyo,SO,74.86,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
611,Sukhothai,TH,73.0,few clouds,17.25,99.6667,ที่ทำการกำนันตำบลเมืองบางขลัง
612,Luena,AO,64.44,light rain,-11.7833,19.9167,Hotel Kandamba
613,Marsh Harbour,BS,66.94,few clouds,26.5412,-77.0636,Abaco Beach Resort
614,Sakakah,SA,55.4,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
615,Malkangiri,IN,65.95,scattered clouds,18.35,81.9,Girls' Hostel
616,Buenavista,PH,75.22,overcast clouds,8.9769,125.4089,Room For Rent
619,Port Shepstone,ZA,73.8,light rain,-30.7414,30.455,My Den Beachfront B&B And Self-Catering
620,San Jose,US,61.0,broken clouds,37.3394,-121.895,The Westin San Jose
621,Desaguadero,PE,59.2,clear sky,-16.5656,-69.0417,av. panamericana 264 desaguadero hotel
625,Ixtapa,MX,75.2,clear sky,20.7,-105.2,Container Inn Puerto Vallarta
626,Pastos Bons,BR,78.12,heavy intensity rain,-6.6017,-44.0767,Área de lazer casa (Pucina)
627,Ziro,IN,42.08,overcast clouds,27.6333,93.8333,Ka-ngam homestay
628,Buala,SB,82.56,light rain,-8.145,159.5921,Maringe Lagoon Lodge
632,Skeldon,GY,81.21,overcast clouds,5.8833,-57.1333,Rits Hotel
633,Mpanda,TZ,65.21,overcast clouds,-6.3655,31.0409,CH Hotel - Mpanda
634,Conde,BR,82.4,few clouds,-7.2597,-34.9075,Pousada Beija Flor
635,Hervey Bay,AU,73.0,broken clouds,-25.2986,152.8535,Shelly Bay Resort
636,Vanimo,PG,78.08,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
637,Luanda,AO,78.8,few clouds,-8.8368,13.2343,EPIC SANA Luanda
640,Xique-Xique,BR,84.43,overcast clouds,-10.8218,-42.7263,Hotel J. Macedo
643,Durban,ZA,73.4,overcast clouds,-29.8579,31.0292,Hilton Durban
644,Mitsamiouli,KM,81.01,light rain,-11.3847,43.2844,Foyer ADM
646,Kroya,ID,66.99,overcast clouds,-7.6331,109.2461,RUSTANTO Fam
649,Talcahuano,CL,59.0,mist,-36.7167,-73.1167,Hotel Terramar
650,Soyo,AO,78.46,clear sky,-6.1349,12.3689,Hotel Mpampa
652,Saint-Joseph,RE,80.6,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
653,Mutis,CO,81.14,light rain,6.2262,-77.4044,Paraiso Escondido
654,Piacabucu,BR,81.82,broken clouds,-10.4056,-36.4344,Piaçabuçu News
655,Lamu,KE,78.8,haze,-2.2717,40.902,Lamu House
658,Bathsheba,BB,82.4,few clouds,13.2167,-59.5167,Atlantis Hotel
659,Saint-Leu,RE,80.6,broken clouds,-21.15,55.2833,La Caz Oceane
660,Sale,MA,46.4,moderate rain,34.0389,-6.8166,Hôtel Mercure Rabat Sheherazade
662,Antofagasta,CL,69.8,few clouds,-23.65,-70.4,Holiday Inn Express Antofagasta
663,Saint-Pierre,RE,80.6,broken clouds,-21.3393,55.4781,Lindsey Hôtel
665,Dosso,NE,79.34,clear sky,13.049000000000001,3.1937,Hotel Toubal
666,Elizabeth City,US,48.99,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
669,Kisangani,CD,75.22,clear sky,0.5167,25.2,Grand Ramela Hotel
674,Hirara,JP,62.62,scattered clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
675,Sal Rei,CV,71.6,scattered clouds,16.1833,-22.9167,Marine Club Beach Resort
676,Mlonggo,ID,78.31,moderate rain,-6.5333,110.7,Asia Metal Art
